0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.03	0.00
0.09	1.46
0.11	1.95
0.12	2.93
0.12	2.44
0.11	2.93
0.12	2.44
0.12	2.93
0.12	2.93
0.12	3.91
0.16	3.91
0.19	5.37
0.20	5.86
0.21	7.32
0.16	5.86
0.23	8.30
0.25	8.30
0.25	9.28
0.26	9.77
0.23	8.79
0.23	9.77
0.23	10.74
0.23	10.25
0.26	10.74
0.34	12.70
0.37	16.11
0.40	17.58
0.43	20.51
0.41	21.49
0.46	23.44
0.49	25.88
0.49	27.34
0.51	27.34
0.51	27.83
0.50	27.34
0.51	28.32
0.47	27.34
0.46	27.83
0.43	27.34
0.45	27.34
0.48	27.34
0.48	27.83
0.51	27.83
0.53	28.81
0.55	31.25
0.59	34.18
0.59	34.18
0.63	37.60
0.63	39.06
0.64	39.55
0.66	41.02
0.68	43.46
0.70	43.46
0.71	45.41
0.74	46.88
0.76	49.32
0.79	50.78
0.79	52.25
0.80	52.74
0.81	54.20
0.84	55.18
0.84	56.64
0.84	56.64
0.84	57.13
0.84	56.64
0.86	57.62
0.85	57.13
0.85	57.62
0.84	56.64
0.88	59.57
0.91	61.04
0.93	63.48
0.95	64.46
0.97	66.41
1.00	68.36
1.02	69.34
1.05	71.29
1.09	75.20
1.15	78.13
1.18	82.03
1.21	83.99
1.25	87.41
1.29	89.85
1.33	93.75
1.35	95.71
1.36	97.66
1.35	96.19
1.34	96.68
1.33	96.19
1.33	96.68
1.32	96.19
1.33	97.66
1.34	96.68
1.38	98.64
1.42	101.57
1.46	104.01
1.48	105.47
1.51	107.91
1.54	109.38
1.56	110.84
1.59	112.31
1.61	114.26
1.64	115.24
1.66	117.19
1.69	117.68
1.70	118.66
1.72	119.63
1.77	122.07
1.84	125.00
1.88	128.91
1.91	130.86
1.90	130.38
1.92	130.86
1.91	131.35
1.92	130.86
1.92	130.86
1.93	130.86
1.93	131.84
1.94	131.35
1.93	131.84
1.95	130.86
1.93	131.84
1.95	131.35
1.95	131.84
1.94	131.84
1.95	131.84
1.95	131.35
1.94	131.84
1.95	131.35
1.95	131.84
1.95	131.35
1.95	131.84
1.95	131.35
1.96	131.84
1.95	131.35
1.95	131.84
1.95	130.86
1.94	131.84
1.89	130.86
1.88	130.38
1.86	129.40
1.84	129.40
1.82	128.91
1.80	128.91
1.78	127.45
1.76	127.45
1.73	126.96
1.72	126.47
1.69	125.49
1.70	125.98
1.69	125.49
1.68	125.49
1.68	125.00
1.68	125.00
1.69	125.00
1.68	125.98
1.69	125.00
1.69	125.49
1.69	125.00
1.68	125.49
1.67	125.00
1.65	125.00
1.63	125.00
1.60	124.03
1.58	123.05
1.56	122.56
1.54	121.59
1.52	121.59
1.50	121.10
1.46	121.10
1.45	119.14
1.43	118.66
1.42	119.14
1.39	118.66
1.38	117.19
1.37	117.19
1.37	117.19
1.37	117.19
1.37	117.19
1.37	117.19
1.37	117.19
1.35	117.19
1.33	115.73
1.31	115.73
1.27	115.24
1.25	114.26
1.24	113.28
1.21	113.28
1.20	111.82
1.16	111.82
1.13	111.33
1.12	109.87
1.10	109.38
1.09	109.38
1.08	108.40
1.05	108.40
1.04	107.43
1.02	106.94
1.00	105.96
0.98	105.47
0.98	105.47
0.98	105.47
0.98	105.47
0.98	105.47
0.98	105.47
0.98	105.96
0.98	105.47
0.96	105.47
0.94	104.50
0.93	104.50
0.90	103.52
0.88	103.52
0.86	102.05
0.84	102.05
0.84	101.57
0.81	101.08
0.81	99.61
0.79	100.10
0.77	98.64
0.74	98.64
0.76	98.15
0.72	98.15
0.72	96.68
0.70	97.17
0.70	95.71
0.71	96.68
0.71	95.71
0.68	96.19
0.67	95.71
0.66	95.22
0.65	94.73
0.63	94.73
0.61	93.75
0.57	91.31
0.57	90.82
0.59	91.31
0.56	91.80
0.60	91.31
0.59	91.80
0.60	91.31
0.59	91.80
0.58	91.31
0.56	90.33
0.55	90.33
0.53	89.85
0.52	88.87
0.50	87.89
0.48	87.41
0.48	86.43
0.47	86.92
0.45	85.94
0.44	85.94
0.43	84.48
0.41	84.48
0.41	83.01
0.37	82.52
0.36	80.57
0.33	80.08
0.31	78.62
0.28	77.15
0.26	76.17
0.23	75.20
0.22	73.24
0.22	73.24
0.22	73.24
0.22	73.24
0.23	72.76
0.22	73.24
0.22	72.76
0.22	73.24
0.21	72.27
0.20	71.78
0.17	70.31
0.16	68.85
0.15	68.36
0.14	67.87
0.12	66.41
0.11	66.41
0.10	65.43
0.10	65.43
0.09	64.46
0.08	63.97
0.06	62.50
0.06	62.01
0.04	60.55
0.03	60.06
0.02	59.08
0.01	58.60
0.00	58.11
0.00	58.60
0.00	57.13
0.00	57.62
0.00	57.13
0.00	57.62
0.00	57.13
0.00	57.62
0.00	56.64
0.00	57.62
0.00	56.64
0.00	57.62
0.00	56.64
0.00	57.62
0.00	56.64
0.00	57.62
0.00	57.13
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.62
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
0.00	57.13
0.00	56.64
-0.01	57.13
-0.01	56.64
-0.02	56.15
-0.02	55.18
-0.03	55.67
-0.03	54.69
-0.04	53.71
-0.05	52.74
-0.06	52.25
-0.05	52.74
-0.06	52.25
-0.05	52.74
-0.05	52.25
-0.05	52.74
-0.07	51.27
-0.09	48.83
-0.10	47.85
-0.12	45.90
-0.14	43.95
-0.15	41.99
-0.16	40.53
-0.17	39.55
-0.18	39.06
-0.18	38.09
-0.19	37.11
-0.21	35.16
-0.23	32.23
-0.25	29.30
-0.29	23.93
-0.34	17.58
-0.37	9.28
-0.41	5.86
-0.42	1.46
-0.42	0.49
-0.42	0.98
-0.42	0.00
-0.42	0.98
-0.41	0.49
-0.43	0.00
-0.43	-1.46
-0.45	-2.44
-0.45	-3.91
-0.47	-4.88
-0.48	-7.81
-0.52	-10.74
-0.55	-17.09
-0.60	-21.97
-0.62	-26.37
-0.64	-29.79
-0.67	-33.20
-0.69	-35.16
-0.71	-38.09
-0.74	-41.51
-0.77	-44.92
-0.80	-47.85
-0.82	-50.78
-0.84	-51.76
-0.86	-54.69
-0.89	-57.13
-0.90	-59.57
-0.93	-61.53
-0.96	-64.46
-0.98	-66.41
-0.97	-66.41
-0.98	-66.41
-0.97	-66.41
-0.98	-66.41
-0.97	-66.41
-0.98	-66.41
-1.00	-68.36
-1.04	-70.31
-1.06	-73.73
-1.09	-75.69
-1.13	-78.13
-1.16	-81.06
-1.19	-83.99
-1.22	-85.94
-1.25	-87.89
-1.27	-89.85
-1.29	-91.80
-1.31	-92.78
-1.32	-93.75
-1.35	-95.22
-1.37	-97.17
-1.40	-98.64
-1.42	-99.61
-1.45	-101.08
-1.47	-103.52
-1.49	-104.50
-1.51	-106.45
-1.52	-106.45
-1.54	-107.43
-1.52	-107.91
-1.53	-107.43
-1.53	-107.91
-1.53	-107.43
-1.54	-107.91
-1.54	-108.89
-1.57	-109.38
-1.59	-110.84
