0,0.01029,0.00545
6,1.19313,0.00475
12,2.41502,0.00459
18,3.60189,0.00393
20.5,4.10454,0.00611
21.5,4.31472,0.01027
22.5,4.51227,0.01029
23.5,4.70734,0.0048
24.5,4.901,0.01472
25.5,5.09456,0.00602
26.5,5.30635,0.00518
27.5,5.50786,0.00471
28.5,5.69988,0.00512
29.5,5.89685,0.0046
32,6.39991,0.00568
38,7.59463,0.00522
44,8.75142,0.00445
50,9.97226,0.0055
47,9.39388,0.00759
41,8.21345,0.00583
35,7.01521,0.00509
30,6.02049,0.0046
29,5.83495,0.00442
28,5.62463,0.0048
27,5.42712,0.0055
26,5.22988,0.00417
25,5.02275,0.00428
24,4.83583,0.00431
23,4.64304,0.00381
22,4.43801,0.0039
21,4.22834,0.00414
20,4.02988,0.00426
15,3.03269,0.00521
9,2.43876,0.0208
9.1,1.85386,0.00549
3,0.63188,0.00557
